Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
cyoA,846.653,742.826,1057.788,1124.696,1346.911,723.568,498.211,507.68,1706.935,1622.237,146.591,125.433,1875.289,1220.382,1519.904,1439.292,1141.989,913.423,345.715,756.924
ampG,47.893,49.122,95.736,85.287,96.473,99.463,80.156,78.072,83.258,81.167,85.703,81.68,89.505,103.814,67.375,67.768,97.358,90.141,87.29,94.912
yajG,168.555,155.793,279.06,249.594,179.685,245.002,217.901,200.013,235.187,235.879,211.538,199.107,186.662,288.429,187.274,194.711,177.815,234.648,191.491,200.821
bolA,822.313,1032.012,166.445,128.734,419.343,195.402,202.502,273.09,158.772,166.041,204.586,240.07,235.437,149.621,363.124,356.478,490.982,192.13,344.247,263.339
tig,901.633,862.267,1864.902,1861.687,1253.032,1645.687,1598.357,1540.476,1581.157,1557.635,1310.912,1296.072,1109.744,2046.715,1293.183,1277.531,1179.735,1457.817,1398.832,1660.798
clpP,420.377,434.611,303.931,347.068,379.714,332.5,352.608,403.487,312.794,332.312,338.846,352.761,333.767,324.278,402.583,420.669,378.703,315.638,419.173,465.691
clpX,501.061,591.252,344.825,383.635,468.274,344.438,331.392,350.079,380.886,363.081,363.251,380.036,387.102,372.353,433.794,441.774,443.32,288.743,490.655,503.75
lon,140.914,154.071,260.414,304.816,144.304,146.772,125.39,130.094,193.402,180.745,184.473,194.946,228.727,295.792,209.636,191.375,143.464,117.96,176.201,191.5
hupB,4345.75,4346.647,3266.79,2573.197,2328.037,2928.602,2773.609,3402.785,3058.535,2790.573,3121.634,3687.088,3041.649,2729.899,2727.658,2928.75,2961.673,3364.684,3869.594,2876.316
ppiD,187.044,179.399,189.578,197.46,140.213,140.33,135.736,133.577,159.026,155.189,182.085,164.827,164.896,195.762,219.811,225.036,136.17,123.679,190.363,221.758
ybaV,12.535,14.003,15.479,10.693,16.027,10.321,12.515,11.203,13.658,15.997,12.13,10.416,15.599,20.315,17.302,16.47,14.36,11.045,16.679,14.868
fadM,40.969,42.098,4.618,6.941,10.211,6.964,7.757,6.398,7.295,7.864,8.7,8.609,7.904,7.102,8.784,11.085,13.875,6.492,7.572,9.295
queC,57.796,58.348,55.729,39.357,42.545,41.518,40.731,35.89,33.914,36.766,49.979,50.619,66.246,56.182,64.872,68.68,36.283,34.587,49.612,43.051
ybaE,5.392,4.719,2.139,2.013,0.905,0.594,1.193,0.842,1.12,1.145,1.181,1.196,1.298,3.2,2.791,1.714,1.113,0.709,3.648,4.112
cof,18.082,19.99,15.299,12.419,20.626,14.372,12.004,14.948,14.41,15.919,18.527,22.146,17.636,17.058,16.729,19.042,18.382,11.452,18.445,14.459
decR,24.561,22.351,30.309,33.898,29.226,19.481,22.325,20.373,22.945,23.632,25.226,21.314,29.201,29.029,26.726,28.909,28.726,24.812,31.384,26.438
mdlA,14.48,15.815,20.721,16.188,19.307,11.668,10.327,11.871,15.074,11.931,14.851,16.073,18.926,18.802,13.982,16.169,18.064,13.023,18.806,19.377
mdlB,12.681,13.289,15.11,11.472,17.816,10.078,10.187,9.72,10.484,11.977,12.786,13.463,16.866,17.312,13.536,13.348,19.077,8.998,20.588,17.07
glnK,0.453,1.411,0.611,0.52,104.57,44.558,21.021,56.398,33.253,26.97,4.315,3.729,57.957,0.88,23.592,25.998,98.775,35.242,50.611,61.805
amtB,11.109,11.688,7.892,5.301,107.802,63.119,34.96,60.515,40.258,34.637,8.419,9.694,50.846,5.563,28.942,30.065,110.466,45.2,58.858,82.156
tesB,52.493,50.253,33.546,29.241,31.622,34.911,30.992,34.186,33.561,32.233,30.063,26.492,36.042,36.956,36.193,40.335,33.222,35.792,31.081,37.181
ybaY,338.314,378.116,22.43,17.839,204.284,69.474,73.621,87.734,73.244,68.073,73.126,74.53,262.533,21.084,198.855,184.914,214.257,77.866,98.302,106.515
atl,43.754,42.524,16.3,10.071,13.376,9.845,11.737,12.957,14.52,14.565,30.77,30.159,26.2,11.983,22.059,30.579,12.203,10.192,19.091,14.515
ffs,3.147,4.196,10.506,2.208,24.406,2.216,3.194,2.285,2.785,2.847,6.525,1.928,4.98,6.542,1.677,6.323,37.488,4.701,7.099,1.142
ybaA,11.436,12.763,4.945,1.849,27.228,1.427,1.91,1.913,1.495,0.917,2.661,2.018,2.494,3.652,2.88,2.406,32.787,1.892,3.81,1.654
pdeB,15.561,18.918,12.86,10.454,60.703,21.953,18.613,17.331,31.529,32.404,13.364,11.481,47.214,10.899,30.364,29.193,57.018,29.458,24.35,30.205
ylaC,84.427,75.613,82.742,77.187,784.18,475.798,325.679,324.406,718.798,766.924,134.444,130.112,751.131,106.824,705.733,687.258,762.068,550.26,382.482,495.95
maa,95.989,93.984,111.743,98.335,164.712,55.735,46.927,43.601,68.552,86.245,79.591,75.075,97.811,127.356,113.139,110.397,154.137,45.794,88.456,101.02
hha,302.079,299.271,293.433,264.759,460.198,157.669,151.416,170.082,239.366,268.891,224.728,244.945,311.338,251.538,308.014,344.984,496.614,178.239,263.606,282.999
tomB,98.388,86.182,71.617,50.286,189.924,49.508,42.098,53.762,57.369,57.201,70.149,68.886,64.588,51.971,138.075,144.157,218.666,55.619,76.973,64.807
acrB,192.122,185.317,130.074,130.68,154.643,147.931,139.328,147.818,163.081,153.299,142.607,132.031,141.676,158.306,149.394,161.319,143.363,122.579,145.861,178.068
acrA,175.232,176.828,120.199,121.835,142.955,130.443,131.63,133.03,158.528,141.818,132.606,127.923,127.918,139.408,147.923,162.114,106.523,116.835,129.505,156.32
acrR,17.635,12.879,27.156,22.69,14.261,10.525,8.188,9.165,12.006,15.695,13.545,13.995,11.972,26.393,15.735,19.213,19.71,9.58,14.904,13.355
mscK,32.456,30.11,33.464,32.147,29.976,20.775,20.788,21.997,23.039,25.353,38.248,39.371,46.888,36.205,43.906,39.943,30.932,18.327,35.183,33.53
ybaM,32.581,30.351,23.744,25.488,28.062,24.012,20.71,26.53,42.47,48.756,38.568,42.748,45.553,27.007,32.847,28.718,31.476,24.95,32.472,35.546
priC,27.078,30.252,19.499,18.883,19.149,23.537,18.077,25.801,28.567,28.279,31.368,34.247,40.138,20.245,27.217,27.923,21.431,21.189,26.108,24.708
ybaN,134.887,128.669,34.488,24.777,125.787,28.467,24.494,25.496,84.426,94.602,129.478,119.375,152.179,31.83,132.849,130.532,125.649,34.264,114.329,111.2
apt,256.96,238.042,388.305,338.792,228.437,161.806,128.344,107.116,284.274,285.687,237.785,231.896,433.749,391.974,254.562,244.061,218.185,178.162,197.632,194.967
dnaX,71.958,65.839,86.385,80.665,106.697,63.933,62.341,58.135,78.413,79.511,92.206,93.637,116.223,85.423,99.186,94.236,112.561,69.004,90.327,98.325
ybaB,367.711,376.113,459.192,375.363,252.032,331.739,363.402,375.243,365.977,338.367,367.246,364.665,447.061,394.801,483.263,492.637,253.341,358.648,353.147,389.222
recR,249.284,289.02,322.727,283.758,207.835,280.854,284.972,268.728,307.631,286.075,295.028,281.34,307.044,378.377,382.415,369.855,201.668,249.325,314.325,320.022
htpG,55.179,55.31,193.476,216.856,62.562,97.939,83.503,86.186,103.844,93.541,102.93,108.576,127.696,243.708,101.657,110.783,65.58,74.817,80.397,98.278
adk,517.917,511.113,707.056,580.198,775.913,1161.303,1120.156,1166.204,806.494,773.243,961.454,993.492,1121.447,736.047,764.231,764.166,819.71,1093.14,728.825,783.433
hemH,29.959,39.025,26.501,24.366,28.376,37.509,35.487,39.328,30.831,28.763,132.181,169.11,34.059,30.202,30.573,34.634,29.451,33.485,38.826,42.838
aes,3.79,4.319,3.311,1.731,3.002,1.842,1.68,2.225,1.544,2.874,3.306,2.691,2.234,3.107,3.917,4.846,2.631,1.489,5.339,2.982
gsk,45.668,44.683,69.681,66.482,63.542,103.825,83.225,90.418,70.484,72.174,101.72,103.438,92.074,74.252,117.59,112.624,72.045,91.959,112.536,110.839
ybaL,69.944,74.519,55.955,46.39,83.043,70.16,59.615,67.689,66.273,64.713,58.961,58.207,23.357,54.787,67.071,66.542,84.762,66.447,81.75,88.503
fsr,20.942,18.72,18.336,12.867,11.516,8.275,8.563,11.05,14.694,17.058,8.285,7.607,17.874,19.993,8.455,9.445,11.097,9.913,13.035,16.467
ushA,70.588,72.513,22.629,17.333,34.926,38.63,40.656,47.21,33.938,32.401,42.478,39.035,34.571,21.535,46.725,55.576,37.811,34.449,43.41,56.171
ybaK,45.052,42.524,45.298,38.604,31.777,43.046,39.554,42.11,47.742,47.224,42.666,46.145,87.252,39.256,67.046,58.154,29.138,44.662,44.286,49.072
ybaP,21.078,24.137,34.245,24.258,44.684,28.723,33.565,35.058,29.824,26.675,33.183,32.286,57.124,29.705,40.641,45.992,47.098,26.291,45.198,37.24
ybaQ,156.577,207.181,113.548,67.138,124.355,69.279,71.028,68.699,89.754,111.995,79.021,83.407,140.349,93.038,144.597,148.487,123.113,61.377,114.532,109.017
copA,108.644,114.777,15.944,13.488,34.789,33.659,38.311,45.648,19.648,17.472,75.618,84.933,49.15,15.005,43.146,44.155,37.746,28.437,29.787,27.949
glsA,47.042,54.579,0.592,1.214,30.673,14.999,26.816,33.362,7.091,5.566,22.747,25.419,63.142,0.906,37.464,42.982,20.04,14.026,11.334,15.622
ybaT,47.221,54.183,2.423,3.018,26.513,10.588,14.442,19.319,6.017,5.774,23.202,21.87,74.245,1.615,43.446,42.823,22.873,10.362,17.984,16.103
cueR,109.395,125.983,28.791,22.338,57.234,43.832,51.761,58.352,43.714,44.685,65.995,77.728,124.448,25.468,92.311,96.362,57.967,35.029,64.268,51.99
ybbJ,38.795,45.338,12.796,6.527,30.525,21.462,20.908,28.488,21.735,20.803,24.956,26.523,19.513,10.561,29.712,27.267,25.657,17.417,33.089,36.716
qmcA,32.125,28.517,10.362,8.145,23.759,22.233,17.877,26.445,19.803,17.355,25.28,21.943,18.551,9.559,30.475,33.191,27.535,18.098,26.83,32.108
fetA,16.628,21.246,16.34,17.082,20.408,24.253,23.591,26.432,16.08,15.839,27.134,24.198,22.095,17.012,23.451,24.5,16.689,20.651,30.12,33.877
fetB,13.862,16.151,12.196,13.944,14.364,17.325,16.972,16.497,16.149,12.588,19.962,19.554,15.971,12.493,18.669,18.776,10.584,13.37,20.924,24.442
cnoX,117.65,128.722,120.067,121.438,67.611,87.123,82.404,94.259,94.18,90.83,140.091,151.162,122.828,132.376,140.349,139.751,75.771,73.548,132.548,129.678
ybbO,37.199,39.473,33.298,27.135,39.962,24.261,23.407,25.372,38.844,38.738,44.353,39.152,45.008,36.337,40.754,42.147,40.32,22.165,47.292,55.428
tesA,36.369,38.234,29.241,26.14,32.172,20.344,16.426,17.905,30.218,28.258,32.109,39.49,32.292,28.348,35.37,34.54,36.132,18.591,34.205,40.057
ybbA,26.927,33.812,11.231,8.026,30.483,13.604,15.521,16.152,12.634,14.096,17.612,18.121,15.47,9.661,22.587,23.702,24.847,11.799,19.28,18.99
ybbP,19.076,20.58,5.045,4.723,13.815,7.008,7.065,8.866,8.875,7.056,11.149,10.685,8.371,4.416,12.706,12.82,14.388,7.148,12.678,13.539
rhsD,5.219,4.662,2.044,1.164,3.598,1.741,1.652,2.373,2.454,2.875,3.446,3.755,3.3,1.661,4.845,5.196,3.386,1.883,3.504,3.177
ybbC,10.138,10.804,3.558,3.139,13.06,5.613,4.158,3.882,8.104,7.477,10.818,9.905,4.444,4.716,14.852,15.893,9.936,4.176,11.77,7.671
ylbH,3.964,4.822,1.879,1.523,6.184,2.451,1.646,3.041,2.977,2.815,3.383,4.638,2.661,1.049,3.944,4.885,3.859,1.351,4.022,4.942
ybbD,0.991,1.786,0.188,0.103,2.58,0.514,0.53,0.743,0.97,0.771,2.222,2.015,1.413,0.759,2.531,2.469,1.978,0.728,1.813,0.861
ylbG,18.872,18.719,13.745,10.964,20.568,17.111,18.317,18.065,28.311,25.45,21.461,17.434,26.62,11.627,22.613,25.541,15.666,15.848,23.931,22.039
selU,7.651,10,15.103,17.612,14.61,16.148,16.294,16.794,14.089,13.488,18.205,20.379,22.35,12.849,21.068,16.307,16.92,17.926,26.04,21.125
allS,1.133,0.86,0.348,0,0.429,0.654,0.729,1.293,0.485,0.759,0.695,0.474,0.748,0.107,0.962,0.672,0.393,0.265,1.426,0.456
allA,2.334,5.448,4.483,3.857,2.109,3.19,1.454,2.75,2.739,2.856,4.723,3.869,4.832,3.603,3.167,4.477,1.76,4.254,3.463,2.155
allR,184.565,193.632,56.227,51.773,90.082,103.204,89.849,107.095,106.431,94.773,157.148,161.485,161.434,61.781,188.331,201.236,85.314,90.528,133.031,139.305
gcl,3.35,3.281,0.814,1.328,1.645,1.035,1.372,1.403,1.93,1.943,1.878,1.064,2.159,0.697,2.181,2.261,1.281,1.216,1.423,1.059
hyi,2.539,1.779,0.208,0.842,0.703,0.715,0.536,0.335,0.613,0.557,0.479,0.354,0.771,0.128,0.697,1.307,0.313,0.374,0.208,0.586
glxR,1.866,3.145,0.472,0.286,0.452,0.632,0.651,0.77,0.662,0.8,0.451,0.375,1.076,0.622,2.827,1.416,0.387,0.508,1.043,0.962
ybbW,0.317,0.183,0.063,0,0.068,0.208,0.214,0,0.073,0.186,0.17,0.038,0.13,0.103,0.832,0.585,0.334,0.092,0.185,0.224
allB,2.069,3.044,1.421,0.296,1.295,1.205,0.878,1.74,1.496,1.231,1.402,0.747,1.25,1.241,2.246,2.43,1.105,1.394,1.624,1.075
ybbY,4.113,3.878,0.354,0.503,2.156,1.824,1.678,2.001,0.874,0.644,2.856,1.076,1.574,0.382,1.86,1.988,2.369,1.012,1.803,1.424
glxK,8.965,8.906,2.01,0.747,4.899,3.681,3.903,3.341,2.632,2.478,3.829,3.789,4.155,1.302,5.338,4.86,4.344,2.494,3.743,3.577
allE,30.577,31.548,7.092,4.26,13.401,11.666,11.019,14.283,10.033,7.468,17.759,16.852,10.914,5.377,22.337,20.967,11.523,11.45,13.557,19.702
allC,5.265,4.236,3.131,2.811,2.733,1.492,2.209,2.55,3.34,2.736,3.49,3.424,2.654,1.85,3.686,3.207,3.242,2.349,2.423,3.869
allD,0.439,0.861,0.307,0.36,0.426,0.241,0.248,0.447,0.454,0.206,0.213,0.366,0.24,0.189,0.182,0.499,0.278,0.276,0.617,0.279
fdrA,0.553,0.701,0.276,0.121,0.179,0.151,0.156,0.125,0.159,0.097,0.149,0.214,0.113,0.298,0.458,0.334,0.058,0.08,0.291,0.351
ylbF,1.727,2.215,1.44,1.049,0.548,0.774,0.446,0.862,1.492,2.088,1.337,1.381,2.01,0.853,2.148,1.205,1.22,0.903,1.256,0.957
ybcF,2.121,2.051,1.159,0.958,1.667,1.3,0.698,1.107,1.45,2.148,1.775,1.721,1.975,1.223,1.889,1.759,0.788,1.649,1.509,1.747
purK,186.357,186.242,17.145,23.102,243.441,333.551,286.867,300.23,344.129,321.253,357.906,361.962,317.88,22.135,577.929,558.996,252.254,310.249,261.606,278.09
purE,164.582,141.539,16.033,16.192,215.491,253.633,217.447,219.208,290.718,288.424,342.395,345.884,331.757,23.64,467.644,469.346,260.197,275.589,222.318,228.821
lpxH,132.893,144.761,119.688,106.488,124.484,161.583,142.126,138.92,143.326,136.707,139.708,140.104,145.341,148.189,162.447,157.335,122.081,117.523,170.03,161.184
ppiB,689.976,762.427,649.062,602.31,423.416,729.561,684.14,736.172,681.275,681.214,707.444,701.516,779.315,705.484,1020.277,996.658,440.752,632.438,766.187,737.694
cysS,105.63,101.977,109.381,100.961,74.776,144.813,138.371,137.229,103.518,99.494,161.677,169.09,92.199,129.638,151.225,146.275,74.633,137.175,103.274,120.887
ybcI,6.086,7.535,2.824,3.473,14.943,7.452,4.783,5.19,8.314,8.809,9.499,6.423,12.325,3.905,7.935,8.913,16.56,7.016,8.269,6.98
ybcJ,171.173,193.779,78.506,70.802,198.968,232.67,213.314,199.087,184.24,191.125,253.291,226.428,224.165,88.581,314.147,290.099,188.099,208.946,246.335,188.482
folD,176.752,179.544,84.374,81.048,200.626,232.316,217.693,235.66,210.2,204.198,271.614,271.102,260.517,79.221,346.125,338.438,212.403,246.258,206.82,220.119
sfmA,3.303,4.699,0.17,0.464,0.64,0.465,0.192,1.439,0.195,0.199,0.457,1.316,0.232,0.458,1.643,2.534,1.789,0.247,0.994,0.479
sfmC,0,0.077,0,0,0.143,0,0.15,0.075,0,0,0,0.238,0,0,0.368,0.284,0.035,0.161,0.234,0.188
sfmD,1.269,0.919,0.725,0.831,1.374,1.086,0.749,0.73,1.016,0.914,1.2,1.541,1.308,0.84,2.398,1.686,1.632,0.866,1.119,0.9
sfmH,0.495,0.108,0.281,0.461,0.151,0.257,0.026,0.079,0.43,0.22,0.302,0.168,0.224,0.101,1.166,1.465,0.197,0.272,0.329,0.198
sfmF,0.993,0.618,1.161,2.147,0.481,0.49,0.706,0.606,0.615,0.524,0.769,1.385,0.917,1.06,0.988,3.302,2.071,0.433,0.314,0.63
fimZ,1.862,1.26,0.146,0,2.119,0.479,0.411,0.411,0.92,2.051,0.627,0.521,0.299,0.471,0.503,2.484,1.074,0.282,1.108,0.72
argU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intD,38.719,40.962,23.488,19.056,39.866,19.335,23.751,23.116,29.417,29.188,28.606,28.614,41.48,25.008,30.495,30.117,35.025,16.364,33.976,39.298
exoD,2.523,3.423,0.349,0.381,3.105,0.67,0.493,0.789,0.902,0.615,2.254,0.312,0.836,0.659,1.931,1.489,1.564,0.338,1.022,0.739
insE-3,7.763,6.999,6.415,4.156,5.238,5.651,5.328,6.986,6.252,5.246,7.655,7.997,8.179,4.584,7.263,7.784,7.513,7.351,6.665,6.179
insF-3,4.568,4.763,2.735,2.249,3.549,3.415,2.948,3.222,4.084,3.811,4.184,4.138,4.758,3.301,4.547,3.836,3.09,2.543,4.242,4.282
renD,5.863,6.229,4.831,3.967,6.1,4.177,4.025,4.321,5.292,4.725,6.069,5.229,6.283,4.462,5.59,4.841,6.785,4.7,4.942,4.709
emrE,32.7,39.826,99.948,70.692,43.417,60.38,37.255,44.821,33.216,41.671,51.449,57.85,50.952,69.724,47.747,51.949,50.678,55.995,47.796,31.948
ybcK,0.604,0.731,0.935,0.956,0.992,1.274,0.579,0.409,0.485,1.045,1.478,0.792,1.57,1.14,2.379,1.545,1.065,0.643,1.537,0.767
ybcL,9.005,8.907,2.295,0.73,1.89,2.151,2.309,2.218,3.068,2.009,3.503,2.788,2.457,1.621,6.927,9.081,3.167,3.075,2.639,2.711
ybcM,21.448,24.946,5.744,4.922,11.145,10.984,11.048,13.285,8.29,7.762,16.964,17.425,16.401,6.417,23.079,22.868,14.849,9.906,18.322,13.128
ybcN,0,0.117,0,0,0.109,0.499,0,0.571,0.232,0,0.326,0.06,1.107,0,0.559,1.221,0.532,0.098,0.532,0.143
ninE,0.45,0,0.808,0,0,0.148,0.304,0,0,0.633,0.145,0.482,0.184,0.291,0,0.958,0.284,0,0,0.19
ybcO,0.528,0.274,0.158,0.087,0,0.174,0.894,0.358,0.182,0,0.17,0.378,0.542,0.256,0.766,0.113,0.334,0.153,0.185,0.894
rusA,0.494,0.659,0,0.486,0.274,0.278,0,0.287,0.437,0,0.41,0.151,0.174,0.068,0.263,0.361,0.067,0.246,0,0.358
ybcQ,2.402,1.938,1.679,1.574,2.005,1.184,1.896,0.95,0.551,1.127,0.775,3.006,1.807,1.424,1.494,2.048,0.885,1.861,2.529,1.186
insH-2,39.081,41.039,36.035,35.305,21.269,21.14,19.654,21.048,37.402,39.712,25.679,25.004,22.112,48.763,34.888,32.432,20.004,14.951,55.134,72.89
nmpC,223.907,217.378,250.876,276.768,30.889,59.9,55.003,62.236,366.6,376.345,89.823,106.015,21.947,310.088,146.876,147.302,37.868,34.79,288.327,339.162
essD,8.541,9.844,20.687,10.49,11.156,9.823,6.502,3.135,11.761,14.401,33.862,28.499,9.636,13.12,14.899,25.331,13.715,8.684,12.614,11.296
rrrD,4.322,3.896,5.134,4.954,4.041,3.246,2.768,2.929,6.695,6.681,13.791,11.919,3.546,5.84,9.597,7.039,5.949,3.139,8.071,6.337
rzpD,2.634,2.129,2.543,2.071,3.307,1.093,1.886,1.804,3.78,3.249,5.554,5.383,1.468,3.121,3.655,4.858,2.549,1.378,2.511,3.732
borD,70.591,77.563,882.614,680.972,78.581,857.443,769.269,836.711,897.546,941.402,624.226,851.164,92.466,755.568,137.208,152.671,107.534,1004.89,494.385,372.257
ybcV,0,0,0.448,0.735,0,2.212,1.772,2.282,0.386,0.395,1.207,2.675,0,0.605,1.24,1.913,1.063,1.304,2.625,4.591
ybcW,1.485,1.798,10.237,3.406,2.16,4.149,11.81,10.57,5.88,4.443,22.757,23.1,3.961,10.088,5.849,10.446,3.754,5.394,23.979,20.746
nohD,1.595,2.142,1.434,3.089,1.365,1.434,1.762,2.051,1.018,1.214,2.498,3.8,2.513,1.753,2.976,4.05,2.891,1.391,1.779,2.562
tfaD,1.045,0.707,0.776,0.357,1.321,0.985,0.692,1.616,0.751,0.959,1.055,0.877,1.622,0.397,1.638,0.697,1.894,0.871,1.674,1.269
ybcY,7.041,5.437,1.547,1.23,1.745,1.465,1.112,1.67,1.374,0.826,2.423,2.182,3.563,1.67,3.697,3.301,1.854,1.296,1.318,2.285
tfaX,4.133,2.286,1.238,1.624,0,0,0.839,0,1.138,0.582,0,2.364,1.696,2.406,1.028,1.057,1.567,0.72,0,1.399
appY,15.851,19.49,8.66,7.452,21.993,85.545,94.392,141.351,5.434,7.213,54.017,71.377,45.834,9.877,18.693,17.823,41.441,52.82,50.212,33.401
ompT,1552.399,1648.979,553.079,504.38,761.557,1178.663,985.194,1129.328,1825.153,1891.207,1210.105,1165.092,916.954,582.276,619.368,707.668,741.436,948.15,1482.632,1789.969
envY,2.354,2.442,0.363,0.595,1.304,0.862,1.16,0.889,1.459,0.71,1.236,2.308,2.235,0.457,1.004,1.204,0.637,1.231,0.708,1.195
ybcH,6.441,6.503,5.532,6.273,3.151,6.776,6.889,7.513,4.277,4.402,6.261,6.261,9.203,4.91,6.723,4.008,4.606,6.316,5.359,4.491
nfrA,5.602,7.5,8.204,5.987,5.774,10.314,8.468,10.233,5.429,5.969,8.498,9.567,11.255,7.191,7.299,6.833,7.098,8.796,6.778,7.693
nfrB,4.259,4.026,3.839,2.171,5.439,4.368,3.556,4.853,2.861,3.227,4.454,4.519,5.876,2.844,4.001,3.85,6.228,4.68,3.279,2.529
cusS,12.447,11.548,9.034,9.509,12.808,11.063,8.759,11.083,8.582,11.735,11.134,11.617,18.162,9.01,10.93,9.4,13.933,9.378,11.217,11.972
cusR,33.825,29.025,28.353,27.348,36.028,28.435,22.13,26.962,30.718,29.502,29.941,31.258,38.038,24.241,23.991,29.027,39.263,30.95,29.343,25.447
cusC,0.224,0.426,0.335,0.55,0.253,0.147,0.151,0.152,0.193,0.354,1.516,1.92,0.275,0.434,0.417,0.143,0.283,0.455,0.157,0.237
cusF,3.078,2.634,1.107,1.058,0.895,1.669,1.015,1.33,3.338,1.3,13.104,8.253,1.705,1.792,2.105,1.673,0.656,0.805,2.187,1.465
cusB,2.051,2.844,0.979,0.658,1.055,0.991,0.829,1.298,1.513,1.326,5.55,6.893,1.907,1.158,1.197,1.285,1.051,1.277,1.565,1.329
cusA,2.494,3.162,1.436,0.689,1.327,1.623,1.539,1.408,2.104,1.428,3.217,4.484,2.528,1.494,2.513,3.262,1.915,1.165,2.214,1.687
pheP,35.725,28.373,64.633,57.338,49.972,57.746,43.554,46.496,68.912,66.279,55.457,49.614,51.669,69.828,51.185,51.536,54.418,49.332,51.289,56.137
ybdG,25.991,29.474,31.744,26.468,41.801,48.049,40.846,41.618,42.789,44.216,47.958,45.802,47.204,33.065,44.068,42.949,39.614,44.34,44.961,45.777
nfsB,164.857,176.452,162.921,126.615,113.574,167.391,163.166,177.514,167.309,160.892,253.168,248.002,235.178,165.496,252.472,253.438,115.06,147.473,191.187,199.879
ybdF,29.163,43.72,48.375,30.772,61.936,29.024,23.893,28.306,27.322,34.307,31.513,30.981,42.477,39.949,46.716,54.694,47.971,27.717,38.601,34.385
ybdJ,47.951,57.211,58.739,37.209,34.32,14.506,11.594,15.901,13.815,15.1,19.915,18.321,35.97,26.256,24.186,32.368,36.276,23.766,20.368,18.815
ybdK,77.026,89.803,0.906,0.72,11.766,5.214,7.786,12.151,3.547,4.52,11.056,10.757,19.785,0.977,16.288,16.425,14.669,5.707,12.223,12.734
insL-2,35.765,34.967,80.459,80.347,31.857,36.508,31.701,36.024,42.945,42.036,45.993,45.068,46.186,91.72,45.213,42.987,34.448,29.052,37.665,44.332
entD,137.557,120.947,1.187,2.108,74.086,1.464,5.277,2.768,146.926,145.397,23.875,15.4,40.932,3.603,83.943,85.574,53.647,3.093,121.025,185.772
fepA,451.359,386.578,2.158,3.325,174.724,7.845,12.534,9.275,591.515,600.452,108.003,81.131,120.491,1.974,281.184,290.145,118.538,8.53,417.492,717.804
fes,162.356,185.8,1.876,1.423,36.034,6.467,9.966,8.12,142.362,154.001,78.42,64.511,71.306,2.128,130.129,123.29,31.77,9.077,158.114,161.722
entF,274.507,273.176,2.391,1.064,80.778,4.659,6.103,4.623,200.503,200.245,25.017,17.889,59.459,1.691,199.997,190.983,76.792,4.217,252.218,325.287
fepE,4.428,3.703,0.162,0.178,5.082,0.178,0.367,0.092,3.267,4.58,0.262,0.242,1.502,0.175,4.777,4.334,4.197,0.276,7.137,6.599
fepC,82.109,86.898,2.964,3.456,65.788,5.262,8.988,6.097,100.692,104.652,57.609,46.408,64.504,3.442,83.876,78.655,51.034,7.608,112.038,107.648
fepG,39.323,41.619,3.665,2.028,41.828,4.986,8.276,6.164,51.831,54.099,39.999,33.265,54.626,3.204,44.57,42.331,33.525,8.028,71.774,61.922
fepD,33.678,33.665,3.919,4.108,53.169,7.842,11.231,10.471,48.974,44.329,52.252,50.751,54.193,3.191,44.038,44.401,48.854,14.598,57.952,49.917
entS,87.167,81.496,3.572,4.025,65.173,11.671,13.555,9.619,103.944,113.345,75.511,68.23,84.3,4.849,102.901,99.625,57.764,16.529,117.48,125.766
fepB,135.364,126.695,4.621,4.157,36.445,8.341,11.849,10.071,83.672,88.978,65.598,54.273,64.458,6.026,97.289,92.983,32.427,13.254,103.283,115.245
entC,452.891,394.121,1.782,1.413,130.779,10.718,14.884,12.669,449.875,455.957,143.364,117.285,161.466,2.22,312.864,327.853,101.629,18.818,313.097,434.475
entE,424.039,363.672,1.044,0.781,114.017,6.366,12.399,7.098,325.888,341.991,78.906,55.508,96.49,1.157,285.743,274.245,85.295,9.01,247.502,381.842
entB,595.542,532.387,2.013,1.702,190.744,6.565,13.55,10.049,475.606,467.6,53.575,35.841,104.131,2.897,411.923,396.822,141.503,9.135,369.638,614.501
entA,454.606,418.303,3.515,4.179,166.411,5.546,8.112,7.567,383.928,365.659,26.984,14.642,80.89,1.864,319.574,304.823,117.736,5.949,309.634,489.138
entH,492.383,448.031,2.726,5.96,190.034,6.833,11.119,5.851,364.97,374.971,18.445,9.559,72.901,3.843,325.408,334.199,136.014,7.605,341.572,551.659
