Gene_name,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
gatA,2646.45,2207.287,477.793,590.404,578.656,521.915,447.647,523.424,291.49,281.603,379.293,354.645,379.349,624.539,513.966,476.402,752.362,297.696,1033.027,1851.048
gatZ,2942.445,2546.227,487.995,582.854,533.067,429.729,433.486,496.327,436.402,449.136,381.7,363.835,403.265,636.464,610.327,558.943,681.872,290.142,1118.488,1845.253
gatY,3575.658,3474.51,618.602,578.065,256.234,287.72,459.808,499.656,492.254,482.971,332.205,333.71,464.277,719.883,1037.298,934.762,283.601,194.997,1722.173,1978.622
fbaB,542.315,628.926,2.275,2.343,58.413,63.136,78.147,91.575,23.522,21.475,64.892,63.94,126.687,2.597,166.61,164.033,70.47,46.273,60.511,69.455
yegT,5.052,2.995,1.55,2.443,1.555,0.85,0.977,1.59,1.387,1.545,2.347,2.086,2.64,2.12,2.543,1.82,2.014,1.555,1.858,1.706
yegU,11.166,9.785,4.675,6.739,5.982,4.976,2.64,5.08,5.819,6.217,7.549,6.043,6.653,7.569,8.434,7.954,4.856,4.666,6.898,8.773
yegV,9.336,11.5,5.627,5.864,4.475,3.53,3.554,4.8,6.958,5.936,6.956,6.884,7.933,7.283,6.399,7.292,5.706,3.306,6.73,8.352
yegW,19.242,19.106,17.483,14.021,36.315,26.409,24.511,28.837,24.584,26.325,24.395,25.347,27.864,17.438,25.551,28.728,31.986,22.959,30.949,30.792
yegX,5.631,6.393,5.625,5.779,26.874,15.791,13.433,15.171,29.434,27.875,28.063,28.924,43.282,4.553,38.205,35.923,25.082,16.85,24.572,28.76
thiD,6.429,5.707,7.333,4.118,64.291,46.766,41.236,38.697,112.389,110.934,91.653,86.869,92.682,6.61,174.235,172.037,52.808,40.145,77.73,109.664
thiM,14.613,14.417,10.86,9.86,75.596,53.528,42.885,41.201,136.267,123.352,95.246,93.38,104.724,9.673,164.083,166.722,67.891,48.341,84.007,108.569
rcnR,50.68,50.429,11.98,13.465,14.195,16.099,9.908,12.594,10.081,14.664,7.629,5.637,12.707,10.563,9.804,10.081,14.053,22.74,7.51,10.249
rcnA,40.187,34.084,4.02,3.296,5.36,5.327,5.422,6.63,5.966,7.017,4.087,3.664,8.792,2.893,3.553,5.56,5.357,5.901,8.24,7.256
rcnB,55.476,54.723,118.086,82.883,51.149,60.354,53.243,62.084,49.021,59.685,56.316,59.988,137.87,107.501,82.714,85.242,50.139,58.89,74.961,52.016
yehA,0.718,0.36,0.223,0.438,0.672,0.39,0.302,0.654,0.358,0.235,0.287,0.743,0.609,0.24,1.262,0.886,0.422,0.173,1.043,1.069
yehB,0.857,0.536,0.427,0.233,0.821,0.519,0.482,0.378,0.736,0.534,0.889,0.687,0.725,0.461,1.515,1.73,0.421,0.27,0.946,2.203
yehC,0.427,0.148,0,0.105,0.69,0.281,0.686,0.362,0.257,0.301,0.723,1.183,0.876,0.207,1.859,1.638,0.944,0.155,2.173,2.892
yehD,0.377,0.098,3.393,2.318,16.47,9.35,9.819,9.21,2.437,3.487,9.315,10.881,5.401,1.923,11.912,12.61,20.078,6.703,27.672,23.846
yehE,157.183,182.65,8.494,7.142,29.775,21.139,18.63,29.188,11.26,13.045,27.255,25.922,51.22,7.228,33.219,39.502,31.687,21.697,20.28,20.074
mrp,96.024,101.138,119.979,113.454,193.946,201.21,201.081,214.388,203.638,170.876,175.164,171.125,220.532,139.701,159.892,165.114,151.51,168.669,176.101,188.637
metG,179.755,157.531,145.762,152.373,135.299,195.244,180.572,182.794,155.389,150.036,225.361,220.145,217.069,166.629,184.727,183.756,144.999,175.002,144.326,184.998
yehF,0.932,0.838,0.838,1.221,4.336,2.082,1.009,2.21,2.053,1.18,2.464,0.999,2.141,0.482,1.545,1.668,4.65,2.111,1.439,1.656
yehI,1.812,1.873,0.818,0.374,1.258,1.46,1.468,1.735,1.355,1.303,1.59,1.657,2.292,0.684,1.745,2.029,1.457,1.334,1.834,1.513
yehL,0.518,0.952,1.015,0.277,0.662,0.649,0.645,0.622,0.705,0.671,0.774,0.53,0.724,0.708,2.341,2.377,1.093,0.615,0.347,0.627
yehM,1.202,0.944,0.687,0.221,0.861,0.709,0.719,0.868,0.836,0.534,1.066,1,1.439,0.403,0.992,1.006,1.331,0.725,0.935,0.685
yehP,0.856,0.865,0.405,0.177,0.634,0.489,0.549,0.412,0.163,0.476,0.262,0.508,0.832,0.503,0.42,0.634,1.046,0.57,0.546,0.801
yehQ,2.486,2.434,0.974,0.901,1.71,0.876,0.733,1.355,1.406,1.202,1.989,1.445,1.658,0.768,1.485,1.758,1.303,1.392,1.17,1.428
yehR,2.218,2.416,2.194,0,2.366,1.859,2.702,2.481,2.635,1.522,2.469,3.45,3.004,1.399,2.483,3.829,2.102,2.127,2.803,3.521
yehS,78.008,69.35,102.646,93.919,100.897,62.692,59.636,51.431,66.632,69.433,88.173,97.788,87.581,128.357,120.96,118.462,92.642,55.898,99.945,115.008
btsR,32.276,38.427,40.244,39.793,11.558,8.981,11.306,13.132,18.193,19.386,10.468,12.137,14.586,44.815,28.677,28.076,14.603,10.266,36.343,42.023
btsS,17.279,14.849,19.659,16.919,5.393,3.311,5.26,5.268,6.859,6.145,4.926,3.814,6.304,18.578,13.947,13.952,4.868,4,16.336,15.341
mlrA,58.104,71.454,2.643,1.789,17.647,8.213,7.959,9.928,5.206,5.469,10.398,10.474,15.381,2.649,14.016,14.77,17.15,7.932,7.481,6.8
yehW,53.974,57.331,1.668,0.344,16.765,8.006,7.923,8.291,7.266,5.247,12.092,12.952,21.714,1.698,18.456,18.843,16.619,5.888,14.188,11.245
yehX,37.811,41.773,1.317,1.467,17.74,5.613,5.078,6.069,4.739,4.26,8.906,8.212,16.5,0.912,11.584,14.915,13.018,4.962,9.079,8.493
yehY,50.248,52.903,0.955,0.696,13.858,5.366,7.12,7.918,5.164,4.088,9.207,9.825,17.62,0.859,13.786,15.137,14.112,5.13,7.641,10.311
osmF,108.32,115.025,3.412,1.371,22.515,14.143,13.344,19.607,12.77,11.993,23.875,21.673,30.919,3.899,32.766,34.619,23.092,13.793,20.13,19.705
bglX,41.744,41.058,32.174,34.906,31.566,39.879,38.616,43.209,42.744,42.211,42.855,42.908,42.9,34.768,38.963,40.747,31.361,35.761,44.937,56.913
dld,182.129,183.967,16.617,16.022,70.559,37.742,42.528,41.47,49.778,50.159,56.031,51.151,93.619,19.991,101.347,93.554,67.214,32.039,83.256,110.455
pbpG,48.333,52.301,56.336,53.862,29.714,38.498,44.88,40.258,40.161,41.807,50.969,52.37,70.646,62.08,48.974,51.41,33.833,40.354,42.041,49.585
yohC,89.066,96.999,1.724,1.456,7.351,2.062,4.158,4.607,0.81,2.944,5.988,5.421,9.654,1.268,8.995,9.249,7.433,3.494,4.404,6.086
yohD,42.039,46.086,14.878,11.654,42.819,24.605,25.334,32.481,18.007,16.445,32.287,32.844,44.01,13.395,28.727,28.859,55.945,23.912,34.478,28.207
yohF,41.896,47.191,1.632,1.057,7.824,2.983,4.915,3.658,3.125,2.627,5.662,5.049,13.368,0.75,10.956,9.029,7.265,2.579,5.806,5.892
mdtQ,0.821,1.018,0.77,0.491,0.484,0.493,0.217,0.707,1.364,0.753,0.587,1.033,1.12,0.398,1.287,1.004,0.44,0.529,0.789,0.77
dusC,16.433,15.195,21.672,17.103,8.805,11.191,8.011,9.232,18.59,16.721,13.024,14.378,17.299,21.869,21.108,20.736,9.477,10.506,15.992,12.286
yohJ,10.467,8.193,5.08,5.553,32.811,133.197,166.542,193.235,5.306,9.22,82.273,88.573,19.444,4.673,14.375,7.719,42.6,128.724,24.272,19.651
yohK,13.437,16.076,3.773,3.979,20.737,65.979,97.642,99.475,5.627,5.441,50.371,51.014,16.312,4.679,9.248,8.567,21.77,53.966,11.356,11.265
cdd,37.405,34.656,137.104,124.945,19.593,25.06,41.26,38.203,19.734,15.221,36.532,30.12,34.994,139.152,30.387,30.505,17.231,26.494,46.942,48.745
sanA,13.807,9.339,26.424,23.708,12.076,11.367,8.669,7.38,9.151,10.557,16.15,16.145,14.586,25.825,13.94,12.696,11.332,13.895,11.727,9.896
yeiS,16.441,19.158,35.893,37.765,26.291,21.681,16.688,24.528,27.675,22.879,31.922,36.527,34.034,35.838,22.437,31.261,28.936,23.634,29.112,23.18
